file,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,,,,,,,,,,,,,,,,,,,,,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,,,,,,,,,,,,,,ipv_act,tpv_act,tpv_mental,tpv_mental,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,,dim_1,dim_2,dim_3,dim_4,dim_5,file,tt_ratio,word_length,word_count,individual
guide_11_conversation_j(2).txt,14.3,0,0,100,57.1,0,0,0,0,14.3,0,0,0,0,0,0,0,14.3,0,0,0,228.6,142.9,42.9,0,0,0,14.3,0,0,0,0,0,14.3,0,42.9,28.6,14.3,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,57.1,57.1,14.3,128.6,0,0,0,0,0,0,14.3,0,14.3,0,0,0,0,0,0,0,0,28.6,71.4,0,200,28.6,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,28.6,0,42.9,14.3,0,0,0,0,0,0,0,57.1,0,14.3,0,0,14.3,0,0,-8.56,-3.08,-5.54,-3.2,-3.63,                             guide_11_conversation_j (2).txt,12.5,4,70,Guide3
guide_11_conversation_j.txt,0,0,0,0,0,0,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,315.8,157.9,105.3,105.3,0,0,0,0,0,0,0,52.6,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.3,0,0,105.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,0,0,157.9,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.86,-2.27,1.64,-6.61,-3.63,                                 guide_11_conversation_j.txt,4.8,3.9,19,Guide3
guide_12_conversation_a.txt,0,0,0,29.4,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,29.4,0,0,323.5,88.2,58.8,29.4,29.4,0,0,0,0,0,0,0,0,58.8,58.8,29.4,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,29.4,0,0,0,117.6,29.4,29.4,58.8,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0,29.4,88.2,0,147.1,88.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,-11.82,-3.45,-19.67,5.16,-3.63,                                 guide_12_conversation_a.txt,7.5,4.6,34,Guide1
guide_12_conversation_e.txt,0,0,33.3,133.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,33.3,33.3,0,0,266.7,133.3,0,0,0,0,0,0,0,0,0,0,0,66.7,66.7,33.3,0,0,0,0,33.3,0,0,0,0,0,0,0,0,33.3,33.3,0,0,0,100,33.3,0,166.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,200,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,33.3,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,-5.73,-22.42,6.73,-3.63,                                 guide_12_conversation_e.txt,7.3,4.6,30,Guide2
guide_12_conversation_j(2).txt,0,0,0,101.7,33.9,0,16.9,16.9,0,16.9,33.9,0,0,0,0,0,0,0,0,0,0,339,135.6,33.9,0,0,0,0,0,0,0,0,33.9,0,33.9,16.9,0,67.8,0,0,0,0,0,0,0,0,0,0,0,0,67.8,0,0,0,0,50.8,33.9,0,84.7,0,0,0,0,0,0,0,0,0,0,16.9,0,16.9,0,0,0,0,33.9,16.9,0,152.5,118.6,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,16.9,0,0,33.9,0,0,0,0,16.9,0,0,33.9,0,0,0,0,0,0,0,-7.5,-5.73,-7.61,9.54,-3.63,                             guide_12_conversation_j (2).txt,12,4.4,59,Guide3
guide_12_conversation_j.txt,0,0,0,74.1,12.3,0,0,0,0,0,24.7,0,0,0,0,0,0,0,0,0,0,321,61.7,61.7,0,37,0,0,0,0,0,12.3,0,0,0,0,12.3,12.3,0,0,12.3,0,0,0,0,0,12.3,0,0,0,24.7,24.7,0,0,0,74.1,49.4,0,123.5,12.3,0,0,0,0,0,0,0,0,0,12.3,0,37,0,0,12.3,0,37,61.7,0,271.6,24.7,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,12.3,12.3,0,12.3,49.4,0,0,0,0,12.3,0,0,24.7,0,0,0,0,0,12.3,0,-17.95,-4.08,5.55,2.21,-3.63,                                 guide_12_conversation_j.txt,15,4.1,81,Guide3
guide_13_conversation_a.txt,11.8,0,11.8,117.6,23.5,11.8,0,0,35.3,0,0,0,0,0,0,11.8,0,0,47.1,0,0,329.4,94.1,35.3,23.5,11.8,11.8,0,0,0,0,0,23.5,0,11.8,23.5,0,0,0,0,0,11.8,0,11.8,0,0,0,0,0,0,0,47.1,11.8,0,0,35.3,70.6,11.8,117.6,11.8,0,0,0,0,0,0,0,11.8,0,0,0,11.8,0,0,0,0,23.5,70.6,0,164.7,129.4,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,23.5,0,0,0,0,0,0,11.8,11.8,11.8,0,0,11.8,11.8,0,0,0.74,-2.17,-2.19,-1.9,-1.84,                                 guide_13_conversation_a.txt,16,4.7,85,Guide1
guide_13_conversation_e.txt,0,0,0,107.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.1,178.6,107.1,0,0,0,0,0,0,0,0,35.7,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,0,0,0,0,0,178.6,0,0,107.1,0,0,0,0,0,0,0,0,0,0,71.4,0,71.4,0,0,0,0,35.7,0,0,214.3,35.7,35.7,0,0,0,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.7,-5.73,1.42,-6.61,-3.63,                                 guide_13_conversation_e.txt,6,4.5,28,Guide2
guide_13_conversation_j(2).txt,15.4,0,0,107.7,46.2,0,15.4,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,338.5,61.5,46.2,0,0,0,0,0,0,0,0,61.5,0,0,15.4,0,30.8,0,0,0,0,0,0,0,0,0,0,15.4,0,30.8,0,0,0,0,92.3,61.5,15.4,107.7,0,0,0,0,0,0,0,15.4,0,0,0,0,46.2,0,0,0,0,15.4,107.7,0,200,76.9,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,30.8,0,15.4,30.8,30.8,0,0,0,0,0,15.4,30.8,0,15.4,0,0,0,0,0,-12.85,-5.73,4.37,0.72,-3.63,                             guide_13_conversation_j (2).txt,12.3,4.6,65,Guide3
guide_13_conversation_j.txt,0,0,0,133.3,0,66.7,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,266.7,0,133.3,0,66.7,0,0,0,0,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,66.7,66.7,0,0,0,0,200,66.7,0,133.3,0,0,0,0,0,0,0,0,0,0,0,66.7,133.3,0,0,0,66.7,0,0,0,266.7,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,-2.76,0.97,9.27,-3.63,                                 guide_13_conversation_j.txt,3.8,4.9,15,Guide3
